date,close,high,low,open,volume
2025-05-14T00:00:00.000Z,116.85,118.0,116.64,117.39,282672.0
2025-05-15T00:00:00.000Z,113.32,114.11,113.0,113.85,405128.0
2025-05-16T00:00:00.000Z,112.82,112.94,111.63,112.36,693135.0
2025-05-19T00:00:00.000Z,112.38,112.5419,111.44,111.48,422978.0
2025-05-20T00:00:00.000Z,113.75,113.93,112.56,112.61,264373.0
2025-05-21T00:00:00.000Z,110.95,113.75,110.2801,112.22,371996.0
2025-05-22T00:00:00.000Z,109.57,110.03,107.81,107.93,346584.0
2025-05-23T00:00:00.000Z,108.78,109.37,106.57,106.62,269608.0
2025-05-27T00:00:00.000Z,109.67,109.85,108.44,109.4,793412.0
2025-05-28T00:00:00.000Z,109.14,109.58,108.76,109.55,545007.0
2025-05-29T00:00:00.000Z,108.95,110.14,108.745,110.08,387854.0
2025-05-30T00:00:00.000Z,108.84,109.1399,108.0,108.78,341809.0
2025-06-02T00:00:00.000Z,109.6,109.68,108.2,108.52,656506.0
2025-06-03T00:00:00.000Z,107.94,108.23,106.81,106.96,398788.0
2025-06-04T00:00:00.000Z,108.88,109.43,108.12,108.17,442876.0
2025-06-05T00:00:00.000Z,107.162,108.84,107.0,108.67,1404708.0
2025-06-06T00:00:00.000Z,107.52,107.79,107.0,107.66,415905.0
2025-06-09T00:00:00.000Z,107.12,108.05,107.11,107.84,640262.0
2025-06-10T00:00:00.000Z,108.25,108.59,107.445,107.67,1016450.0
2025-06-11T00:00:00.000Z,107.52,109.88,107.35,109.71,950724.0
2025-06-12T00:00:00.000Z,108.38,109.23,108.091,108.93,457859.0
2025-06-13T00:00:00.000Z,106.01,107.01,105.67,105.87,607626.0
2025-06-16T00:00:00.000Z,107.5,108.95,107.44,107.68,680210.0
2025-06-17T00:00:00.000Z,105.55,106.82,105.53,106.59,498404.0
2025-06-18T00:00:00.000Z,106.25,107.37,105.77,106.03,300000.0
2025-06-20T00:00:00.000Z,103.15,104.4,103.15,104.32,742436.0
2025-06-23T00:00:00.000Z,104.69,104.75,101.8,101.83,417399.0
2025-06-24T00:00:00.000Z,105.8,106.12,104.31,104.57,635352.0
2025-06-25T00:00:00.000Z,103.58,103.95,103.1,103.82,430526.0
2025-06-26T00:00:00.000Z,102.31,103.0799,102.16,103.04,759199.0
2025-06-27T00:00:00.000Z,105.11,105.7,103.812,103.89,600628.0
2025-06-30T00:00:00.000Z,105.06,105.2688,104.3,105.19,614614.0
2025-07-01T00:00:00.000Z,111.08,111.15,108.27,108.46,350688.0
2025-07-02T00:00:00.000Z,115.42,115.97,113.73,114.77,838753.0
2025-07-03T00:00:00.000Z,114.06,115.795,113.91,115.68,234055.0
2025-07-07T00:00:00.000Z,111.17,112.015,110.77,111.43,650585.0
2025-07-08T00:00:00.000Z,113.97,114.05,111.36,111.87,473446.0
2025-07-09T00:00:00.000Z,115.11,115.11,113.53,113.79,232438.0
2025-07-10T00:00:00.000Z,117.96,118.34,115.83,116.11,333370.0
